year,page,layout,dept_hint,name,is_total,pios,opening,received,total,transferred,replied,rej_s8,rej_s9,rej_s11,rej_s24,rej_other,rej_total,pending,charges_rs,fee_rs,penalty_rs,amount_total_rs,faas,fa_opening,fa_received,fa_total,fa_disposed,fa_rejected,fa_pending,disciplinary,chk_total,chk_disposal,key,canonical,tier
2015,57,W,Health,Indian Medicine and Homoeopathy,0,32,,369,369,27,294,22,,1,,25,,,606,,,,9,,6,6,6,,,,1,1,indian medicine homoeopathy,Directorate of Indian Medicine and Homoeopathy,HOD
2015,57,W,Health,Food Safety and Drug Administration,0,39,,656,656,1,617,4,2,,,,,32,486,,,,10,,8,8,8,,,,1,1,commissioner food safety drug administration,Commissioner of Food Safety and Drug Administration,HOD
2015,57,W,Health,Tamil Nadu Medical Services Corporation Limited,0,1,,52,52,1,47,2,,,,2,,,1250,,,,1,,5,5,5,,,,1,1,medical services,Tamil Nadu Medical Services Corporation Limited,Body/Corporation
2015,57,W,Health,Tamil Nadu Health Systems Project,0,1,,62,62,7,55,,,,,,,,,,,,1,,3,3,3,,,,1,1,health systems project,Tamil Nadu Health Systems Project,HOD
2015,57,W,Health,Tamil Nadu State Health Transport Department,0,17,2,25,27,2,21,,,1,,1,,2,306,,,,1,,1,1,1,,,,1,1,state health transport,Tamil Nadu State Health Transport Department,HOD
2015,57,W,Health,Drugs Control,0,17,11,423,434,29,381,16,,,,,,8,4918,,,,17,3,44,47,43,,4,,1,1,drugs control,Directorate of Drugs Control,HOD
2015,57,W,Health,Health Total,1,241,61,6947,7008,775,5742,266,2,2,,146,,75,9778,,,,165,6,369,375,353,15,7,,1,1,health total,Health Total,HOD
2015,58,W,Higher Edn,"Higher Education, Secretariat",0,5,,634,634,408,205,5,,,,16,,,110,,,,3,,45,45,45,,,,1,1,higher education secretariat,"Higher Education Department, Secretariat",Secretariat
2015,58,W,Higher Edn,Technical Education,0,1,23,638,661,31,612,,,,,,,18,476,,,,1,24,82,106,106,,,,1,1,state council for technical education,Tamil Nadu State Council for Technical Education,HOD
2015,58,W,Higher Edn,Collegiate Education,0,87,584,2251,2835,19,2248,,,,,,,568,,,,,10,86,322,408,364,,44,,1,1,collegiate education,Directorate of Collegiate Education,HOD
